Target Variable,Parameter Tested,Value,5-Fold CV Neg MSE,Test R2,Test MSE,Iterations Needed
EE%,hidden_layer_sizes,"(50, 25)",-47.6323,0.8794,13.0612,2846
EE%,hidden_layer_sizes,"(100, 50)",-45.9267,0.859,15.273,1925
EE%,hidden_layer_sizes,"(150, 75)",-51.5154,0.9063,10.1465,1427
EE%,hidden_layer_sizes,"(100, 100)",-40.3563,0.8546,15.7516,1210
EE%,hidden_layer_sizes,"(200, 100)",-52.4055,0.8758,13.4548,1286
EE%,hidden_layer_sizes,"(300, 150)",-49.5752,0.9062,10.1558,1024
EE%,activation,relu,-45.9267,0.859,15.273,1925
EE%,activation,tanh,-38.7504,0.8932,11.5717,2628
EE%,activation,logistic,-46.9282,0.7027,32.2012,4507
EE%,solver,adam,-45.9267,0.859,15.273,1925
EE%,solver,sgd,-21.8531,0.882,12.7762,4130
EE%,solver,lbfgs,-53.7743,-0.2737,137.9505,110
EE%,alpha,1e-05,-43.3942,0.8654,14.579,1615
EE%,alpha,0.0001,-45.9267,0.859,15.273,1925
EE%,alpha,0.001,-40.9731,0.9063,10.1482,1665
EE%,alpha,0.01,-50.2666,0.9039,10.4108,1601
EE%,max_iter,2000,-45.9267,0.859,15.273,1925
EE%,max_iter,4000,-45.9267,0.859,15.273,1925
EE%,max_iter,6000,-45.9267,0.859,15.273,1925
EE%,learning_rate,constant,-21.8531,0.882,12.7762,4130
EE%,learning_rate,invscaling,-23.5762,0.5338,50.4906,6000
EE%,learning_rate,adaptive,-21.8959,0.8819,12.7965,4185
DLC%,hidden_layer_sizes,"(50, 25)",-35.3554,0.8759,8.3871,3615
DLC%,hidden_layer_sizes,"(100, 50)",-23.9156,0.8783,8.225,1426
DLC%,hidden_layer_sizes,"(150, 75)",-30.7096,0.8853,7.7554,1353
DLC%,hidden_layer_sizes,"(100, 100)",-20.5634,0.8516,10.0341,1180
DLC%,hidden_layer_sizes,"(200, 100)",-28.6873,0.9389,4.1334,1225
DLC%,hidden_layer_sizes,"(300, 150)",-31.895,0.9172,5.5954,984
DLC%,activation,relu,-23.9156,0.8783,8.225,1426
DLC%,activation,tanh,-24.6008,0.8698,8.7999,2446
DLC%,activation,logistic,-25.7115,0.5128,32.9354,4160
DLC%,solver,adam,-23.9156,0.8783,8.225,1426
DLC%,solver,sgd,-10.2569,0.8915,7.3331,4787
DLC%,solver,lbfgs,-26.0592,-1.6029,175.95,219
DLC%,alpha,1e-05,-31.5143,0.9104,6.0546,1466
DLC%,alpha,0.0001,-23.9156,0.8783,8.225,1426
DLC%,alpha,0.001,-21.8994,0.8834,7.8822,1426
DLC%,alpha,0.01,-20.5631,0.9069,6.2914,1444
DLC%,max_iter,2000,-23.9156,0.8783,8.225,1426
DLC%,max_iter,4000,-23.9156,0.8783,8.225,1426
DLC%,max_iter,6000,-23.9156,0.8783,8.225,1426
DLC%,learning_rate,constant,-10.2569,0.8915,7.3331,4787
DLC%,learning_rate,invscaling,-15.0555,0.5126,32.9499,6000
DLC%,learning_rate,adaptive,-10.2695,0.8917,7.3237,4842
