Solvent,THF fraction,Curcumin Solubility,Polarity,Hildebrand Solubility Parameters,Dipole Moment,Dielectric constants,Viscosity,delta d,delta p,delta h,Size (output),PDI,EE%,EE std,DLC%,DLC std
Acetone,0,1.62,0.355,19.7,2.69,20.7,0.32,15.5,10.4,7,197.6,0.059666667,1.756356051,2.483862548,1.696753969,2.399572475
,0.1,3.396878339,0.341488311,19.59044577,2.604182519,19.50220707,0.339171991,15.61868375,9.970912593,7.091295193,134.17,0.02,3.959285093,1.268685419,3.801332465,1.173977355
,0.2,5.208464333,0.3277127,19.47875162,2.51668877,18.28101772,0.358718466,15.73968574,9.533443849,7.184373649,114.43,0.023,8.584704983,2.518576615,7.881218925,2.136656427
,0.3,7.055784927,0.313665356,19.36485424,2.427469155,17.0357397,0.378650508,15.86307457,9.087345776,7.279288133,97.3,0.072333333,11.26542353,0.111481926,10.12477459,0.090050108
,0.4,8.93990798,0.299338161,19.24868779,2.336472101,15.76565315,0.398979637,15.98892156,8.632360504,7.37609351,138.23,0.040666667,8.632996096,0.856120885,7.944078609,0.725479363
,0.5,10.86194433,0.284722666,19.13018377,2.243643957,14.47000927,0.419717839,16.11730091,8.168219784,7.474846855,61.06,0.023333333,7.261921168,2.522931033,8.607628568,4.8283837
,0.6,12.82304997,0.269810081,19.00927093,2.148928892,13.14802879,0.440877588,16.24828983,7.69464446,7.575607562,70.67,0.018666667,16.09897326,3.442813905,13.82870589,2.555334655
,0.7,14.82442839,0.254591255,18.88587504,2.052268783,11.79890045,0.462471868,16.3819687,7.211343913,7.678437465,96.45,0.029333333,13.27195848,0.409487485,11.71631992,0.319152798
,0.8,16.86733299,0.239056657,18.75991884,1.953603093,10.42177933,0.484514203,16.51842125,6.718015463,7.783400965,127.53,0.023666667,23.60054506,7.534897679,18.94359186,4.941335359
,0.9,18.95306975,0.223196356,18.63132181,1.852868747,9.015785071,0.507018684,16.65773471,6.214343737,7.890565162,108.27,0.054,28.0260429,5.132570779,21.82807265,3.133916674
,1,21.083,0.207,18.5,1.75,7.58,0.53,16.8,5.7,8,111.2,0.096666667,28.99079282,2.986608296,22.6669053,2.0961341
Acetonitrile,0.1,1.524857235,0.443146326,24.00696966,3.327420124,35.50686988,0.361990756,15.39992297,17.18063167,6.226569092,196.6,0.102,0,0,0,0
,0.2,3.028259902,0.424994142,23.58365785,3.206166401,33.36017676,0.374905354,15.50754461,16.29813416,6.362889845,181.67,0.082333333,0.622660594,1.26868542,0.618807366,0.005624015
,0.3,4.652134929,0.405387366,23.12642474,3.075196238,31.04146239,0.388854839,15.62379032,15.34491937,6.510134407,161.67,0.065,6.579508692,2.51857661,6.172048519,0.491086106
,0.4,6.411567467,0.384143859,22.63102281,2.933292974,28.52918686,0.403968796,15.74973996,14.3121323,6.669670621,133.23,0.064666667,9.205952029,0.11148193,8.427421943,0.673614511
,0.5,8.324270919,0.36104975,22.09246452,2.779027973,25.79805737,0.420399387,15.88666156,13.18937519,6.843104646,69.87,0.070333333,9.000366985,0.85612089,8.241023498,1.722433363
,0.6,10.4111854,0.335852205,21.50485378,2.610712355,22.81817376,0.438326495,16.03605412,11.96435619,7.032335222,61.25,0.061,12.75699683,2.52293103,11.30661681,1.12151477
,0.7,12.69724751,0.308250137,20.86116921,2.426334911,19.5539293,0.457964329,16.19970274,10.62243751,7.239623473,98.7,0.040666667,13.72794295,3.44281391,12.0618255,1.26067125
,0.8,15.21239156,0.27788212,20.15298224,2.223481353,15.96258111,0.479570033,16.37975028,9.146047715,7.467683686,89.37,0.045333333,29.17563168,0.40948748,22.56652305,1.737570979
,0.9,17.99286763,0.244310465,19.37008595,1.999228009,11.99236807,0.503455005,16.57879171,7.513907995,7.71980283,84.61,0.073666667,25.10739552,7.53489768,19.96406865,4.091991443
